Kabupaten/Kota,,,,,,,
,[SERI 2010] PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran Kabupaten/Kota (Milyar Rupiah),,,,,,
,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Gorontalo,10724.64,150.64,2125.39,5511.6,170.44,-1587.18,17095.53
Pohuwato,4771.06,49.85,1144.53,1591.41,120.59,901.99,8579.42
Bone Bolango,3726.38,37.73,1389.27,1511.89,109.54,-725.59,6049.22
Gorontalo Utara,2652.23,71.49,773.58,1259.92,47.74,-390.71,4414.26
Kota Gorontalo,7487.42,76.03,3043.05,3613.47,134.71,-3117.97,11236.71
Majene,3925.34,87.46,1355.56,1711.31,-34.98,-548.86,6495.83
Polewali Mandar,10524.61,109.21,2024.9,4233.06,219.36,659.65,17770.78
Mamasa,2680.65,83.3,828.19,1046.21,-10.49,-856.03,3771.84
Mamuju,7504.11,137.69,3805.67,4759.66,372.89,-555.95,16024.07
Mamuju Utara,3667.38,73.64,890.1,4322.41,340.48,6284.92,15578.92
Mamuju Tengah,2565.22,60.53,548.73,1128.6,156.63,95.16,4554.87
Maluku Tenggara Barat,2851.45,172.16,1184.19,1746.61,38.94,-2375.18,3618.17
Maluku Tenggara,2690.53,123.18,1247.81,1458.37,30.93,-1142.35,4408.47
Maluku Tengah,9402.58,377.62,2452.28,2520.41,33,-3331.43,11454.45
Buru,2705.47,104.22,1114.81,1214.77,22.11,-1994.26,3167.11
Kepulauan Aru,2240.19,114.61,980.02,1326.79,15.44,84.44,4761.49
Seram Bagian Barat,3009.95,116.37,1499.14,1838.25,35.8,-2422.27,4077.23
Seram Bagian Timur,2189.31,69.62,1401.85,1318.17,20.96,-1316.39,3683.51
Maluku Barat Daya,1348.79,40.61,840.48,833.52,15.6,118.14,3197.15
Buru Selatan,1646.62,71.26,926.2,871.65,25.73,-1654.6,1886.86
Kota Ambon,13279.96,522.5,4335.72,3996.87,30.24,-2329.41,19835.88
Kota Tual,2196.07,76.78,907.11,1012.75,24.74,-800.22,3417.23
Halmahera Barat,1874.71,142.07,911.45,303.71,49.03,-333.94,2947.03
Halmahera Tengah,1173.81,48.43,1724.07,23841.99,-207.8,5721.74,32302.24
Kepulauan Sula,1892.68,26.66,881.09,870.14,-26.04,-266.32,3378.21
Halmahera Selatan,4567.28,61.65,1278.45,10100.71,252.4,4787.3,21047.79
Halmahera Utara,4033.62,98.04,1527.66,1620.95,13.93,-113.43,7180.76
Halmahera Timur,1997.74,129.85,1711.37,2262.55,74.52,-780.15,5395.88
Pulau Morotai,1099.05,10.93,456.88,637.1,9.89,-185.02,2028.83
Pulau Taliabu,858.61,3.35,241.84,383.57,31.64,591.59,2110.6
Kota Ternate,9307.5,194.68,4630.3,2189.46,138.96,-1248.36,15212.53
Kota Tidore Kepulauan,2084.67,69.23,3339.38,918.7,33.75,-2594.12,3851.61
Fakfak,3475.09,115.15,1975.87,1779.91,253.89,-1289.37,6310.53
Kaimana,1367.56,82.11,1387.76,768.99,-232.42,-278.13,3095.88
Teluk Wondama,643.51,46.26,878.87,543.52,409.62,-665.68,1856.1
Teluk Bintuni,1692.59,79,2255.47,2191.54,407.3,45734.46,52360.36
Manokwari,5469.68,269.48,3600.78,2931.99,-60.17,-885.17,11326.6
Manokwari Selatan,750.37,28.65,479.18,71.43,72.12,-383.63,1018.12
Pegunungan Arfak,145.03,3.14,174.93,142.3,8.85,-115.05,359.21
Raja Ampat,1305.51,70.95,1283.61,593.92,198.09,651.82,4103.89
Sorong,3464.82,173.67,2093.67,2133.75,-332.1,4915.98,12449.8
Sorong Selatan,957.47,74.5,1102.84,601.06,-180.57,-216.27,2339.03
Maybrat,749.22,36.81,789.7,178.21,0.56,-891.09,863.41
Tambrauw,108.82,10.92,224.04,62.99,-70.43,-31.39,304.95
Kota Sorong,10749.98,153.65,2932.9,3063.94,-449.4,676.29,17127.37
Jayapura,10079,214.64,3724.26,5852.75,397.34,161.13,20429.12
Kepulauan Yapen,3816.39,249.05,787.04,1129.55,162.37,-869.68,5274.71
Biak Numfor,4903.48,311.72,1772.49,1262.68,124.65,-1817.9,6557.13
Sarmi,2686.72,29.36,1162.74,1839.52,29.46,-1923.15,3824.65
Keerom,2634.07,46.89,1091.41,1682.12,34.06,-1870.98,3617.58
Waropen,1595.05,59.65,931.06,1207.27,48.55,-1390.05,2451.54
Supiori,1067.46,79.26,422.15,920.26,14.4,-1257.71,1245.82
Mamberamo Raya,1574.57,38.66,635.37,1056.83,41.56,-1041.5,2305.49
Kota Jayapura,18490.68,4111.57,15627.52,17832.33,39.02,-16286.16,39814.97
Merauke,14119.9,265.82,3840.18,5760.54,-64.67,-3572.02,20349.76
Boven Digoel,3989.26,46.38,1057.03,2465.5,-50.33,-1641.12,5866.71
Mappi,3013.96,69.69,1334.69,1923.18,-36.85,-2470.9,3833.76
Asmat,2783.18,60.48,1585.7,1624.04,0.2,-2643.71,3409.89
Mimika,15864.22,297.25,5554.1,24488.19,8903.61,91190.22,146297.59
Dogiyai,1524.01,45.09,736,775.56,-0.52,-1433.23,1646.91
Deiyai,1270.55,6.66,592.02,762.58,8.45,-873.17,1767.09
Nabire,9789.56,399.3,2183.01,3613,-26.96,-989.71,14968.19
Paniai,4258.1,18.67,1415.77,2531.61,3.54,-2889.04,5338.66
Intan Jaya,1074.39,10.26,532.68,846.57,-12.25,-986.23,1465.43
